t,x,y,z,speed_mps,speed_kmh,steer,throttle,lap,mode,cam
0.035089,-60.194748,-14.995755,-0.000904,0.003643,0.013114,0.907705,0.418924,0,trail,13
0.394099,-60.193707,-14.996380,-0.000882,0.000646,0.002326,0.905577,0.419190,0,trail,13
0.427270,-60.193699,-14.996383,-0.000888,0.000955,0.003439,0.903910,0.419050,0,trail,13
0.460188,-60.193684,-14.996387,-0.000893,0.000844,0.003037,0.904162,0.419139,0,trail,13
0.493543,-60.193680,-14.996391,-0.000915,0.000444,0.001597,0.904903,0.419330,0,trail,13
0.526728,-60.193676,-14.996395,-0.000941,0.000113,0.000408,0.905454,0.419302,0,trail,13
0.558971,-60.193676,-14.996396,-0.000947,0.000843,0.003034,0.905446,0.419527,0,trail,13
0.591934,-60.193672,-14.996397,-0.000913,0.000803,0.002892,0.906419,0.419648,0,trail,13
0.625045,-60.193672,-14.996397,-0.000894,0.001266,0.004556,0.906123,0.419563,0,trail,13
0.658222,-60.193672,-14.996397,-0.000891,0.000834,0.003004,0.904407,0.419299,0,trail,13
0.691214,-60.193672,-14.996399,-0.000945,0.001649,0.005936,0.906144,0.419559,0,trail,13
0.724545,-60.193672,-14.996399,-0.000930,0.000110,0.000394,0.906030,0.419409,0,trail,13
0.757124,-60.193672,-14.996399,-0.000971,0.002708,0.009748,0.905921,0.419543,0,trail,13
0.790815,-60.193672,-14.996399,-0.000927,0.001353,0.004872,0.905455,0.419359,0,trail,13
0.823405,-60.193672,-14.996399,-0.000920,0.000762,0.002744,0.905830,0.419501,0,trail,13
0.856001,-60.193672,-14.996399,-0.000888,0.000083,0.000299,0.905257,0.419471,0,trail,13
0.889433,-60.193672,-14.996399,-0.000946,0.001525,0.005489,0.905028,0.419546,0,trail,13
0.922683,-60.193672,-14.996399,-0.000887,0.000281,0.001012,0.904459,0.419027,0,trail,13
0.955033,-60.193672,-14.996399,-0.000886,0.000333,0.001197,0.904571,0.419389,0,trail,13
0.988476,-60.193672,-14.996399,-0.000920,0.000510,0.001836,0.903646,0.419105,0,trail,13
1.022259,-60.193672,-14.996399,-0.000905,0.001568,0.005644,0.904452,0.419413,0,trail,13
1.055266,-60.193672,-14.996399,-0.000898,0.000455,0.001638,0.903527,0.419401,0,trail,13
1.087963,-60.193672,-14.996399,-0.000907,0.000181,0.000653,0.904293,0.419470,0,trail,13
1.121276,-60.193672,-14.996399,-0.000900,0.000294,0.001059,0.904242,0.419337,0,trail,13
1.154041,-60.193672,-14.996399,-0.000906,0.000940,0.003383,0.903954,0.419342,0,trail,13
1.187165,-60.193672,-14.996399,-0.000912,0.001570,0.005654,0.903922,0.419452,0,trail,13
1.220815,-60.193672,-14.996399,-0.000903,0.000439,0.001579,0.903910,0.419566,0,trail,13
1.253386,-60.193672,-14.996399,-0.000926,0.001121,0.004037,0.903788,0.419572,0,trail,13
1.286766,-60.193672,-14.996399,-0.000906,0.001959,0.007051,0.903875,0.419562,0,trail,13
1.319110,-60.193672,-14.996399,-0.000882,0.000410,0.001478,0.904218,0.419613,0,trail,13
1.352373,-60.193672,-14.996399,-0.000900,0.000277,0.000998,0.904313,0.419641,0,trail,13
1.385787,-60.193672,-14.996399,-0.000903,0.000388,0.001398,0.904109,0.419630,0,trail,13
1.418870,-60.193672,-14.996399,-0.000924,0.001320,0.004754,0.903946,0.419582,0,trail,13
1.451945,-60.193672,-14.996399,-0.000936,0.000006,0.000023,0.903904,0.419273,0,trail,13
1.485766,-60.193672,-14.996399,-0.000919,0.000755,0.002716,0.903405,0.419465,0,trail,13
1.518676,-60.193672,-14.996399,-0.000897,0.000621,0.002234,0.903823,0.419589,0,trail,13
1.551142,-60.193672,-14.996399,-0.000917,0.000574,0.002065,0.904333,0.419638,0,trail,13
1.584073,-60.193672,-14.996399,-0.000899,0.000371,0.001335,0.903611,0.419538,0,trail,13
1.617258,-60.193672,-14.996399,-0.000920,0.001528,0.005500,0.903104,0.419546,0,trail,13
1.650542,-60.193672,-14.996399,-0.000957,0.002067,0.007443,0.903654,0.419589,0,trail,13
1.683322,-60.193672,-14.996399,-0.000931,0.001662,0.005984,0.903663,0.419416,0,trail,13
1.716392,-60.193672,-14.996399,-0.000924,0.000248,0.000894,0.904033,0.419493,0,trail,13
1.748146,-60.193672,-14.996399,-0.000907,0.000023,0.000082,0.904055,0.419597,0,trail,13
1.781911,-60.193672,-14.996399,-0.000925,0.000015,0.000055,0.903726,0.419538,0,trail,13
1.815366,-60.193672,-14.996399,-0.000958,0.003275,0.011790,0.903244,0.419675,0,trail,13
1.848197,-60.193672,-14.996399,-0.000895,0.000545,0.001963,0.903011,0.419316,0,trail,13
1.881262,-60.193672,-14.996399,-0.000963,0.002159,0.007773,0.903204,0.419532,0,trail,13
1.914549,-60.193672,-14.996399,-0.000918,0.000207,0.000747,0.903171,0.419201,0,trail,13
1.947408,-60.193672,-14.996399,-0.000910,0.000941,0.003389,0.903495,0.419563,0,trail,13
1.980388,-60.193672,-14.996399,-0.000913,0.000058,0.000208,0.903343,0.419478,0,trail,13
2.013715,-60.193672,-14.996399,-0.000889,0.000864,0.003111,0.903083,0.419369,0,trail,13
2.046639,-60.193672,-14.996399,-0.000904,0.000464,0.001671,0.903243,0.419523,0,trail,13
2.079231,-60.193672,-14.996399,-0.000923,0.001589,0.005719,0.903770,0.419541,0,trail,13
2.111956,-60.193672,-14.996399,-0.000880,0.000041,0.000148,0.903058,0.419450,0,trail,13
