t,x,y,z,speed_mps,speed_kmh,steer,throttle,lap,mode,cam
0.034755,-8.494285,-14.688705,-0.001007,0.007276,0.026195,0.310100,0.461976,0,trail,3
0.384232,-8.497578,-14.689403,-0.000927,0.016236,0.058448,0.213195,0.473468,0,trail,3
0.416723,-8.498079,-14.689533,-0.000934,0.014667,0.052802,0.218700,0.466352,0,trail,3
0.449764,-8.497375,-14.689320,-0.000940,0.025248,0.090892,0.220166,0.471842,0,trail,3
0.483523,-8.497428,-14.689331,-0.000978,0.008921,0.032117,0.254625,0.464392,0,trail,3
0.516465,-8.497127,-14.689240,-0.000897,0.016664,0.059991,0.222062,0.470522,0,trail,3
0.549601,-8.497096,-14.689224,-0.000898,0.019003,0.068410,0.251325,0.480567,0,trail,3
0.582069,-8.496780,-14.689128,-0.000947,0.023446,0.084407,0.247059,0.467126,0,trail,3
0.615547,-8.496922,-14.689172,-0.000949,0.010261,0.036940,0.259630,0.461293,0,trail,3
0.648375,-8.496758,-14.689129,-0.000881,0.008900,0.032041,0.248573,0.465182,0,trail,3
0.681461,-8.496657,-14.689096,-0.000888,0.011222,0.040400,0.272868,0.461753,0,trail,3
0.713820,-8.496659,-14.689102,-0.000887,0.009232,0.033236,0.254177,0.468143,0,trail,3
0.746709,-8.497237,-14.689260,-0.000891,0.017695,0.063703,0.245508,0.465233,0,trail,3
0.780185,-8.496668,-14.689094,-0.000914,0.014360,0.051697,0.257756,0.465276,0,trail,3
0.813038,-8.497291,-14.689273,-0.000890,0.019062,0.068625,0.239577,0.461814,0,trail,3
0.846554,-8.496491,-14.689039,-0.000870,0.020514,0.073850,0.246084,0.467494,0,trail,3
0.879539,-8.496940,-14.689170,-0.000915,0.017009,0.061233,0.239200,0.467569,0,trail,3
0.912208,-8.496428,-14.689021,-0.000895,0.016751,0.060303,0.249441,0.465334,0,trail,3
0.945467,-8.496982,-14.689178,-0.000915,0.007897,0.028431,0.248969,0.461432,0,trail,3
0.978088,-8.497715,-14.689389,-0.000922,0.029360,0.105694,0.232461,0.468190,0,trail,3
1.011241,-8.497790,-14.689409,-0.000918,0.005617,0.020223,0.224201,0.466026,0,trail,3
1.043780,-8.498111,-14.689521,-0.000899,0.015353,0.055271,0.207051,0.476406,0,trail,3
1.077038,-8.497810,-14.689416,-0.000913,0.007152,0.025746,0.199047,0.490216,0,trail,3
1.110360,-8.498404,-14.689604,-0.000906,0.006868,0.024723,0.188164,0.482728,0,trail,3
1.142739,-8.498452,-14.689614,-0.000875,0.008876,0.031954,0.187225,0.490375,0,trail,3
1.176569,-8.498197,-14.689528,-0.000948,0.006783,0.024419,0.192681,0.491355,0,trail,3
1.208751,-8.498192,-14.689524,-0.000950,0.002681,0.009652,0.190297,0.488766,0,trail,3
1.241813,-8.498188,-14.689523,-0.000930,0.003255,0.011719,0.183648,0.491123,0,trail,3
1.274851,-8.498183,-14.689524,-0.000898,0.001913,0.006888,0.182928,0.489989,0,trail,3
1.307785,-8.498180,-14.689523,-0.000928,0.003002,0.010808,0.183785,0.489503,0,trail,3
1.340864,-8.498178,-14.689523,-0.000919,0.001268,0.004565,0.185166,0.488986,0,trail,3
1.374114,-8.498179,-14.689523,-0.000920,0.000333,0.001200,0.181053,0.490843,0,trail,3
1.407234,-8.498179,-14.689524,-0.000929,0.003690,0.013283,0.179292,0.490976,0,trail,3
1.440170,-8.498179,-14.689524,-0.000956,0.003004,0.010815,0.184644,0.490340,0,trail,3
1.473604,-8.498179,-14.689524,-0.000930,0.002138,0.007698,0.182963,0.489759,0,trail,3
1.506943,-8.498179,-14.689525,-0.000912,0.001460,0.005255,0.181488,0.489329,0,trail,3
1.540604,-8.498179,-14.689525,-0.000930,0.003080,0.011088,0.183617,0.490559,0,trail,3
1.574552,-8.498179,-14.689525,-0.000929,0.003568,0.012843,0.182290,0.491672,0,trail,3
1.607193,-8.498179,-14.689525,-0.000932,0.001878,0.006761,0.181237,0.491264,0,trail,3
1.640313,-8.498179,-14.689525,-0.000891,0.001147,0.004130,0.183546,0.491155,0,trail,3
1.673317,-8.498179,-14.689525,-0.000920,0.000561,0.002019,0.181513,0.491274,0,trail,3
1.706572,-8.498179,-14.689525,-0.000955,0.005280,0.019006,0.180549,0.492141,0,trail,3
1.739139,-8.498179,-14.689525,-0.000922,0.001210,0.004356,0.181440,0.491355,0,trail,3
1.772143,-8.498179,-14.689525,-0.000946,0.000630,0.002267,0.175531,0.492341,0,trail,3
1.805500,-8.498179,-14.689525,-0.000910,0.000347,0.001249,0.181565,0.491519,0,trail,3
