t,x,y,z,speed_mps,speed_kmh,steer,throttle,lap,mode,cam
0.035156,-64.990326,17.498102,-0.000909,0.011276,0.040593,0.120910,0.513966,0,trail,8
0.383546,-64.992577,17.495079,-0.001040,0.003913,0.014088,0.075570,0.488355,0,trail,8
0.416834,-64.992561,17.495129,-0.001029,0.017494,0.062979,0.062260,0.488796,0,trail,8
0.449771,-64.992668,17.494976,-0.001136,0.012695,0.045701,0.062362,0.483586,0,trail,8
0.482129,-64.993439,17.493748,-0.001079,0.030681,0.110451,0.057899,0.479428,0,trail,8
0.515192,-64.993484,17.493683,-0.001008,0.025578,0.092080,0.043216,0.474899,0,trail,8
0.548248,-64.993790,17.493202,-0.001067,0.025995,0.093581,0.071689,0.491323,0,trail,8
0.581202,-64.993523,17.493629,-0.001051,0.007478,0.026922,0.065641,0.479817,0,trail,8
0.614296,-64.994049,17.492811,-0.001027,0.029403,0.105850,0.071471,0.482418,0,trail,8
0.647223,-64.994156,17.492641,-0.001036,0.008008,0.028829,0.063648,0.477906,0,trail,8
0.680798,-64.994598,17.491941,-0.001026,0.033507,0.120624,0.046867,0.476043,0,trail,8
0.713132,-64.995232,17.490940,-0.001059,0.044127,0.158856,0.071848,0.483730,0,trail,8
0.746719,-64.995232,17.490950,-0.001009,0.007185,0.025865,0.081423,0.475767,0,trail,8
0.779323,-64.995842,17.489990,-0.001055,0.036912,0.132882,0.095793,0.482900,0,trail,8
0.812431,-64.995483,17.490549,-0.001025,0.009652,0.034747,0.073379,0.476575,0,trail,8
0.845114,-64.995758,17.490107,-0.001008,0.012100,0.043561,0.064213,0.473822,0,trail,8
0.878666,-64.995705,17.490189,-0.000991,0.010125,0.036449,0.072913,0.478892,0,trail,8
0.912021,-64.995773,17.490080,-0.001019,0.012243,0.044075,0.077051,0.477310,0,trail,8
0.945683,-64.995911,17.489866,-0.001013,0.004778,0.017201,0.081455,0.477468,0,trail,8
0.978717,-64.995575,17.490431,-0.001029,0.020244,0.072877,0.049801,0.473074,0,trail,8
1.011957,-64.995552,17.490467,-0.001034,0.006953,0.025032,0.045421,0.473804,0,trail,8
1.044643,-64.995567,17.490459,-0.001092,0.007656,0.027561,0.031312,0.472069,0,trail,8
1.076816,-64.995514,17.490543,-0.001056,0.000772,0.002779,0.012763,0.468135,0,trail,8
1.109804,-64.995514,17.490549,-0.001030,0.002672,0.009620,0.011133,0.468730,0,trail,8
1.142433,-64.995522,17.490551,-0.001015,0.001494,0.005377,0.020157,0.470504,0,trail,8
1.175492,-64.995529,17.490551,-0.001035,0.000842,0.003032,0.050744,0.475315,0,trail,8
