t,x,y,z,speed_mps,speed_kmh,steer,throttle,lap,mode,cam
0.035077,-65.001396,94.507545,-0.000988,0.027964,0.100671,-0.326756,0.339275,0,trail,9
0.376348,-65.001961,94.507553,-0.001064,0.008420,0.030314,-0.292492,0.321759,0,trail,9
0.409083,-65.001968,94.507545,-0.001097,0.000729,0.002625,-0.294252,0.322384,0,trail,9
0.442924,-65.001953,94.507545,-0.001051,0.002879,0.010364,-0.301686,0.326257,0,trail,9
0.475216,-65.001945,94.507538,-0.001036,0.001240,0.004465,-0.299932,0.324681,0,trail,9
0.508100,-65.001953,94.507538,-0.001037,0.001516,0.005457,-0.295628,0.321997,0,trail,9
0.541936,-65.001953,94.507530,-0.001040,0.004006,0.014421,-0.297396,0.323540,0,trail,9
0.575721,-65.001961,94.507530,-0.001087,0.007419,0.026710,-0.294408,0.322234,0,trail,9
0.608375,-65.001968,94.507515,-0.001024,0.003491,0.012566,-0.295315,0.322675,0,trail,9
0.641958,-65.001968,94.507515,-0.001018,0.001719,0.006189,-0.294753,0.321887,0,trail,9
0.675891,-65.001968,94.507515,-0.001023,0.003957,0.014246,-0.296785,0.323438,0,trail,9
0.709153,-65.001968,94.507515,-0.000943,0.004271,0.015376,-0.294417,0.322080,0,trail,9
0.742372,-65.001968,94.507515,-0.001026,0.002863,0.010305,-0.298679,0.324660,0,trail,9
0.775634,-65.001968,94.507515,-0.000973,0.000000,0.000000,-0.298717,0.324304,0,trail,9
0.808622,-65.001968,94.507515,-0.000905,0.001306,0.004702,-0.299826,0.325114,0,trail,9
0.841955,-65.001968,94.507515,-0.000899,0.000658,0.002370,-0.294645,0.321871,0,trail,9
0.875520,-65.001968,94.507515,-0.000895,0.001198,0.004311,-0.297710,0.323671,0,trail,9
0.908954,-65.001968,94.507515,-0.000944,0.000379,0.001363,-0.299608,0.325153,0,trail,9
0.942648,-65.001968,94.507515,-0.000938,0.000180,0.000649,-0.298714,0.324487,0,trail,9
0.975269,-65.001968,94.507515,-0.000949,0.001939,0.006981,-0.299124,0.324821,0,trail,9
1.007407,-65.001968,94.507515,-0.000957,0.000253,0.000912,-0.299182,0.324631,0,trail,9
1.040373,-65.001968,94.507515,-0.000961,0.001400,0.005042,-0.299191,0.324686,0,trail,9
1.073487,-65.001968,94.507515,-0.000935,0.000678,0.002441,-0.299700,0.324761,0,trail,9
1.106789,-65.001968,94.507515,-0.000956,0.000043,0.000154,-0.299697,0.324820,0,trail,9
1.139731,-65.001968,94.507515,-0.000952,0.000220,0.000792,-0.300691,0.325469,0,trail,9
1.172794,-65.001968,94.507515,-0.000960,0.001538,0.005537,-0.300410,0.325295,0,trail,9
1.205224,-65.001968,94.507515,-0.000988,0.005382,0.019374,-0.300463,0.325795,0,trail,9
1.238751,-65.001968,94.507515,-0.000953,0.000911,0.003280,-0.300418,0.325515,0,trail,9
1.271415,-65.001968,94.507515,-0.000911,0.001328,0.004779,-0.300046,0.325069,0,trail,9
1.304412,-65.001968,94.507515,-0.000956,0.001130,0.004068,-0.299918,0.325162,0,trail,9
1.337241,-65.001968,94.507515,-0.000946,0.001003,0.003610,-0.298636,0.324363,0,trail,9
1.370383,-65.001968,94.507515,-0.000979,0.002536,0.009131,-0.300016,0.325306,0,trail,9
1.403089,-65.001968,94.507515,-0.000986,0.000198,0.000711,-0.300520,0.325450,0,trail,9
1.436426,-65.001968,94.507515,-0.000947,0.001906,0.006860,-0.301301,0.326193,0,trail,9
1.469941,-65.001968,94.507515,-0.000967,0.000325,0.001169,-0.300088,0.325122,0,trail,9
1.502628,-65.001968,94.507515,-0.000969,0.001255,0.004520,-0.300342,0.325181,0,trail,9
1.535483,-65.001968,94.507515,-0.000985,0.000557,0.002005,-0.300534,0.325034,0,trail,9
1.568167,-65.001968,94.507515,-0.001002,0.002707,0.009744,-0.300082,0.325223,0,trail,9
1.601537,-65.001968,94.507515,-0.000968,0.001244,0.004477,-0.299840,0.325073,0,trail,9
1.634165,-65.001968,94.507515,-0.000953,0.000106,0.000381,-0.299639,0.324881,0,trail,9
1.667063,-65.001968,94.507515,-0.000957,0.000677,0.002437,-0.299924,0.325072,0,trail,9
1.700512,-65.001968,94.507515,-0.000980,0.002688,0.009676,-0.299996,0.325461,0,trail,9
1.733888,-65.001968,94.507515,-0.000966,0.000316,0.001137,-0.298838,0.324311,0,trail,9
1.766306,-65.001968,94.507515,-0.000973,0.001792,0.006450,-0.299202,0.324624,0,trail,9
1.799589,-65.001968,94.507515,-0.000931,0.000471,0.001696,-0.299749,0.324974,0,trail,9
1.832558,-65.001968,94.507515,-0.000933,0.001257,0.004526,-0.299587,0.324978,0,trail,9
1.865126,-65.001968,94.507515,-0.000962,0.000021,0.000076,-0.299361,0.324766,0,trail,9
1.898932,-65.001968,94.507515,-0.000968,0.000874,0.003147,-0.299530,0.325147,0,trail,9
1.931942,-65.001968,94.507515,-0.000979,0.001904,0.006854,-0.299633,0.325113,0,trail,9
1.964732,-65.001968,94.507515,-0.000997,0.002014,0.007251,-0.300295,0.325596,0,trail,9
1.997202,-65.001968,94.507515,-0.000961,0.000000,0.000000,-0.299482,0.324878,0,trail,9
2.031470,-65.001968,94.507515,-0.001031,0.003280,0.011807,-0.299883,0.325391,0,trail,9
